Time,GHI_1_Jun_Pe,GHI_2_Jun_Pe,GHI_3_Jun_Pe,GHI_4_Jun_Pe,GHI_5_Jun_Pe,GHI_6_Jun_Pe,GHI_7_Jun_Pe,GHI_8_Jun_Pe,GHI_9_Jun_Pe,GHI_10_Jun_Pe,GHI_11_Jun_Pe,GHI_12_Jun_Pe,GHI_13_Jun_Pe,GHI_14_Jun_Pe,GHI_15_Jun_Pe,GHI_16_Jun_Pe,GHI_17_Jun_Pe,GHI_18_Jun_Pe,GHI_19_Jun_Pe,GHI_20_Jun_Pe,GHI_21_Jun_Pe,GHI_22_Jun_Pe,GHI_23_Jun_Pe,GHI_24_Jun_Pe,GHI_25_Jun_Pe,GHI_26_Jun_Pe,GHI_27_Jun_Pe,GHI_28_Jun_Pe,GHI_29_Jun_Pe,GHI_30_Jun_Pe
16:00:00,78.9,146.2,160.4,151.8,152.6,106.3,145.4,146.1,137.7,135.5,173.6,161.8,160.1,102.2,146.6,150.7,84.1,173.5,154.4,167.5,166.8,166.8,159.5,169.1,169.1,165.9,154.9,91.2,147.7,144
16:10:00,99.2,116.1,130.1,121.9,121.7,70.6,116.4,116.7,109.4,122.2,182.5,131,129.1,50.2,116.9,72.9,74.8,137,96.9,138.8,136,136.2,141.1,138.5,138.4,134.7,124.8,63.1,117.4,115
16:20:00,85,85.7,99.4,93.1,92.7,53.5,86.8,87.6,81.8,64.6,134.3,100.1,98.8,80.2,87.6,51.2,42.8,100.6,25,108.5,106.3,106.5,84,108.6,108.9,105.3,96.3,66.8,89,89.6
16:30:00,61.7,62.8,64.9,60.6,60.6,37.5,54.8,56.2,51.2,54.3,83.1,65.5,64.4,61.7,56.5,48,23.9,67.1,17.5,73.2,72.4,72.7,99.8,75.1,76,73,65.4,46.6,60.1,60.1
16:40:00,31.4,44.6,34.4,33.1,31.8,19.6,28.2,30.6,26.7,26.1,24.2,35,34.2,34.3,30.1,28.5,12.5,37.6,17.6,38.7,40.3,40.3,59.5,42.8,43.2,41.3,36.6,33.9,32.8,33.8
16:50:00,11.4,16.8,12.7,12.9,12,8.5,10.4,11.6,10.3,7.1,8.7,13.3,13.1,13.6,11.5,12,7.9,15.2,7.6,15.5,16.9,17.1,32.5,18.5,18.4,17.6,16.1,17.4,14.4,15.1
17:00:00,2.7,2,2.7,2.8,2.7,1.7,2.4,2.5,2.2,1.5,2.5,2.9,2.9,2.9,2.7,4,1.5,3,2.4,3.4,4.2,4.4,10.2,4.7,4.9,4.7,4.4,4,4.2,4.7
17:10:00,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0.1,0.1,0.3,0.4,0.4,0.2,0.4,0.5,0.5,0.4,0,0.4,0.4
17:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
